,Stock Symbol,Cluster
0,MMM,3
1,ABT,1
2,ABBV,3
3,ABMD,0
4,ACN,1
5,ATVI,1
6,ADBE,0
7,AMD,2
8,AAP,1
9,AES,0
10,AFL,3
11,A,1
12,APD,1
13,AKAM,1
14,ALK,4
15,ALB,4
16,ARE,1
17,ALXN,1
18,ALGN,0
19,ALLE,1
20,LNT,3
21,ALL,3
22,GOOGL,1
23,GOOG,1
24,MO,3
25,AMZN,0
26,AMCR,3
27,AEE,1
28,AAL,4
29,AEP,3
30,AXP,1
31,AIG,4
32,AMT,1
33,AWK,1
34,AMP,1
35,ABC,1
36,AME,1
37,AMGN,1
38,APH,1
39,ADI,1
40,ANSS,0
41,ANTM,1
42,AON,1
43,AOS,3
44,APA,4
45,AAPL,0
46,AMAT,0
47,APTV,0
48,ADM,1
49,ANET,1
50,AJG,1
51,AIZ,1
52,T,3
53,ATO,3
54,ADSK,0
55,ADP,1
56,AZO,1
57,AVB,3
58,AVY,1
59,BKR,4
60,BLL,0
61,BAC,1
62,BK,3
63,BAX,3
64,BDX,3
65,BBY,1
66,BIO,0
67,BIIB,4
68,BLK,1
69,BA,4
70,BKNG,1
71,BWA,3
72,BXP,3
73,BSX,1
74,BMY,3
75,AVGO,0
76,BR,1
77,CHRW,3
78,COG,3
79,CDNS,0
80,CZR,2
81,CPB,3
82,COF,1
83,CAH,3
84,KMX,0
85,CCL,4
86,CARR,2
87,CTLT,0
88,CAT,1
89,CBOE,3
90,CBRE,0
91,CDW,0
92,CE,1
93,CNC,1
94,CNP,3
95,CERN,3
96,CF,4
97,SCHW,1
98,CHTR,1
99,CVX,3
100,CMG,0
101,CB,3
102,CHD,1
103,CI,1
104,CINF,1
105,CTAS,0
106,CSCO,1
107,C,4
108,CFG,4
109,CTXS,1
110,CLX,3
111,CME,1
112,CMS,3
113,KO,3
114,CTSH,3
115,CL,3
116,CMCSA,1
117,CMA,4
118,CAG,3
119,COP,4
120,ED,3
121,STZ,3
122,COO,1
123,CPRT,0
124,GLW,1
125,CTVA,0
126,COST,1
127,CCI,1
128,CSX,1
129,CMI,1
130,CVS,3
131,DHI,0
132,DHR,0
133,DRI,0
134,DVA,1
135,DE,0
136,DAL,4
137,XRAY,3
138,DVN,4
139,DXCM,2
140,FANG,4
141,DLR,3
142,DFS,4
143,DISCA,0
144,DISCK,1
145,DISH,4
146,DG,1
147,DLTR,3
148,D,3
149,DPZ,0
150,DOV,1
151,DOW,0
152,DTE,3
153,DUK,3
154,DRE,1
155,DD,3
156,DXC,4
157,EMN,1
158,ETN,1
159,EBAY,1
160,ECL,1
161,EIX,3
162,EW,0
163,EA,1
164,EMR,1
165,ENPH,2
166,ETR,3
167,EOG,4
168,EFX,1
169,EQIX,1
170,EQR,3
171,ESS,3
172,EL,0
173,ETSY,2
174,EVRG,3
175,ES,1
176,RE,3
177,EXC,3
178,EXPE,4
179,EXPD,1
180,EXR,1
181,XOM,3
182,FFIV,1
183,FB,1
184,FAST,1
185,FRT,3
186,FDX,3
187,FIS,1
188,FITB,4
189,FE,3
190,FRC,0
191,FISV,1
192,FLT,1
193,FLIR,1
194,FMC,1
195,F,3
196,FTNT,0
197,FTV,3
198,FBHS,1
199,FOXA,4
200,FOX,3
201,BEN,3
202,FCX,0
203,GPS,4
204,GRMN,0
205,IT,1
206,GNRC,2
207,GD,3
208,GE,4
209,GIS,3
210,GM,1
211,GPC,3
212,GILD,3
213,GL,3
214,GPN,0
215,GS,1
216,GWW,1
217,HAL,4
218,HBI,4
219,HIG,1
220,HAS,3
221,HCA,0
222,PEAK,1
223,HSIC,3
224,HSY,1
225,HES,0
226,HPE,3
227,HLT,1
228,HFC,4
229,HOLX,1
230,HD,1
231,HON,1
232,HRL,3
233,HST,4
234,HWM,4
235,HPQ,1
236,HUM,1
237,HBAN,4
238,HII,3
239,IEX,1
240,IDXX,0
241,INFO,0
242,ITW,1
243,ILMN,0
244,INCY,3
245,IR,1
246,INTC,1
247,ICE,1
248,IBM,3
249,IP,3
250,IPG,1
251,IFF,3
252,INTU,0
253,ISRG,0
254,IVZ,4
255,IPGP,4
256,IQV,0
257,IRM,3
258,JKHY,1
259,J,1
260,JBHT,1
261,SJM,3
262,JNJ,3
263,JCI,1
264,JPM,1
265,JNPR,3
266,KSU,0
267,K,3
268,KEY,4
269,KEYS,0
270,KMB,3
271,KIM,4
272,KMI,3
273,KLAC,0
274,KHC,3
275,KR,1
276,LB,4
277,LHX,1
278,LH,1
279,LRCX,0
280,LW,1
281,LVS,3
282,LEG,4
283,LDOS,1
284,LEN,0
285,LLY,0
286,LNC,4
287,LIN,1
288,LYV,0
289,LKQ,4
290,LMT,3
291,L,3
292,LOW,0
293,LUMN,0
294,LYB,4
295,MTB,3
296,MRO,4
297,MPC,4
298,MKTX,0
299,MAR,4
300,MMC,1
301,MLM,1
302,MAS,1
303,MA,0
304,MKC,1
305,MXIM,1
306,MCD,3
307,MCK,3
308,MDT,1
309,MRK,3
310,MET,1
311,MTD,1
312,MGM,4
313,MCHP,0
314,MU,0
315,MSFT,0
316,MAA,1
317,MHK,4
318,TAP,3
319,MDLZ,3
320,MPWR,0
321,MNST,1
322,MCO,0
323,MS,1
324,MOS,4
325,MSI,1
326,MSCI,0
327,NDAQ,1
328,NTAP,1
329,NFLX,0
330,NWL,4
331,NEM,1
332,NWSA,1
333,NWS,1
334,NEE,1
335,NLSN,4
336,NKE,1
337,NI,3
338,NSC,1
339,NTRS,3
340,NOC,3
341,NLOK,4
342,NCLH,4
343,NOV,4
344,NRG,1
345,NUE,3
346,NVDA,0
347,NVR,1
348,NXPI,0
349,ORLY,1
350,OXY,4
351,ODFL,0
352,OMC,3
353,OKE,4
354,ORCL,1
355,OTIS,0
356,PCAR,3
357,PKG,3
358,PH,1
359,PAYX,1
360,PAYC,2
361,PYPL,0
362,PENN,2
363,PNR,1
364,PBCT,3
365,PEP,3
366,PKI,1
367,PRGO,3
368,PFE,3
369,PM,3
370,PSX,4
371,PNW,3
372,PXD,4
373,PNC,1
374,POOL,0
375,PPG,1
376,PPL,3
377,PFG,4
378,PG,1
379,PGR,1
380,PLD,1
381,PRU,4
382,PEG,3
383,PSA,3
384,PHM,0
385,PVH,4
386,QRVO,0
387,PWR,0
388,QCOM,0
389,DGX,3
390,RL,4
391,RJF,1
392,RTX,3
393,O,3
394,REG,4
395,REGN,1
396,RF,4
397,RSG,1
398,RMD,0
399,RHI,1
400,ROK,1
401,ROL,1
402,ROP,1
403,ROST,1
404,RCL,4
405,SPGI,0
406,CRM,0
407,SBAC,1
408,SLB,4
409,STX,0
410,SEE,3
411,SRE,1
412,NOW,0
413,SHW,1
414,SPG,4
415,SWKS,0
416,SNA,1
417,SO,1
418,LUV,3
419,SWK,1
420,SBUX,1
421,STT,3
422,STE,1
423,SYK,1
424,SIVB,0
425,SYF,4
426,SNPS,0
427,SYY,1
428,TMUS,1
429,TROW,1
430,TTWO,1
431,TPR,4
432,TGT,0
433,TEL,1
434,TDY,0
435,TFX,1
436,TER,0
437,TSLA,2
438,TXN,1
439,TXT,4
440,TMO,0
441,TJX,1
442,TSCO,0
443,TT,0
444,TDG,0
445,TRV,3
446,TRMB,0
447,TFC,1
448,TWTR,0
449,TYL,0
450,TSN,3
451,UDR,3
452,ULTA,0
453,USB,3
454,UAA,0
455,UA,4
456,UNP,1
457,UAL,4
458,UNH,1
459,UPS,1
460,URI,0
461,UHS,1
462,UNM,4
463,VLO,4
464,VAR,1
465,VTR,4
466,VRSN,1
467,VRSK,1
468,VZ,3
469,VRTX,1
470,VFC,1
471,VIAC,4
472,VTRS,3
473,V,1
474,VNO,3
475,VMC,1
476,WRB,1
477,WAB,3
478,WMT,1
479,WBA,3
480,DIS,1
481,WM,1
482,WAT,1
483,WEC,1
484,WFC,3
485,WELL,4
486,WST,0
487,WDC,4
488,WU,1
489,WRK,4
490,WY,4
491,WHR,1
492,WMB,3
493,WLTW,1
494,WYNN,4
495,XEL,1
496,XLNX,0
497,XYL,1
498,YUM,1
499,ZBRA,0
500,ZBH,1
501,ZION,3
502,ZTS,0
